ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Harris,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1095
Warren,12/1/2019 12:00:00 AM,$0.11,$0.11,$0.09,$0.11,11334
Booker,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/1/2019 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,2311
Sanders,12/1/2019 12:00:00 AM,$0.10,$0.11,$0.10,$0.10,6297
Pence,12/1/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1229
Trump,12/1/2019 12:00:00 AM,$0.44,$0.45,$0.44,$0.44,4645
Gillibrand,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/1/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,221
Haley,12/1/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,193
Ryan,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/1/2019 12:00:00 AM,$0.07,$0.09,$0.07,$0.09,10437
Yang,12/1/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,12687
Buttigieg,12/1/2019 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,2259
Gabbard,12/1/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1433
Clinton,12/1/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1044
Harris,12/2/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3111
Warren,12/2/2019 12:00:00 AM,$0.11,$0.11,$0.09,$0.10,11979
Booker,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/2/2019 12:00:00 AM,$0.14,$0.16,$0.14,$0.15,10131
Sanders,12/2/2019 12:00:00 AM,$0.10,$0.11,$0.10,$0.11,11802
Pence,12/2/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,4256
Trump,12/2/2019 12:00:00 AM,$0.44,$0.45,$0.44,$0.45,4786
Gillibrand,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1205
Haley,12/2/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1871
Ryan,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/2/2019 12:00:00 AM,$0.09,$0.09,$0.07,$0.08,7611
